,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
665,81,261744,Children's Theatre of Madison,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15767,Madison,,62000,3.65,Executive Director,24,88.54,164563,371867,"Arts, Culture, Humanities : Performing Arts ",14822,84.31,0,1268748,WI,724587.0,"Arts, Culture, Humanities ", Performing Arts ,WISCONSIN,Wisconsin,WI,55.0
666,76,496002,The Children's Theatre of Cincinnati,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14837,Cincinnati,,120000,3.95,Managing Director,488617,92.37,133026,10296770,"Arts, Culture, Humanities : Performing Arts ",275679,82.19,0,2404256,OH,1925616.0,"Arts, Culture, Humanities ", Performing Arts ,OHIO,Ohio,OH,39.0
667,100,20238503,Children's Aid,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3480,New York,,421170,0.32,President & CEO,-1523439,84.71,3202702,287456621,Human Services : Children's and Family Services ,23432708,89.18,0,106849027,NY,35165855.0,Human Services , Children's and Family Services ,NEW YORK,New York,NY,36.0
668,92,2611188,Children's Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7022,Minneapolis,,Managing Director,-764617.0,89.64,762522,23836000.0,"Arts, Culture, Humanities : Performing Arts ",493949,90.74,0,10404058.0,MN,5066292,,,,,,,,
669,100,995223,Children's Tumor Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5905,New York,,292417,1.97,"President, Chief Scientific Officer",844801,86.22,1862625,11464812,Health : Medical Research ,151255,90.25,0,11920152,NY,15471546.0,Health , Medical Research ,NEW YORK,New York,NY,36.0
670,100,258884,Children's Scholarship Fund Philadelphia,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12551,Philadelphia,,182803,1.6,Executive Director,2467525,100.0,435013,14036341,Education : Scholarship and Financial Support ,91200,100.0,0,10705515,PA,13602401.0,Education , Scholarship and Financial Support ,PENNSYLVANIA,Pennsylvania,PA,42.0
671,100,369572,Children's Scholarship Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4531,New York,,268322,1.19,"President, COO",2066484,87.5,771746,15459765,Education : Scholarship and Financial Support ,20677,91.16,0,21240903,NY,24428028.0,Education , Scholarship and Financial Support ,NEW YORK,New York,NY,36.0
672,100,643835,Children's Rights,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10159,New York,,186339,4.08,"President, Executive Director",-1662779,75.98,472812,5498708,Human Services : Children's and Family Services ,220192,83.01,0,3447079,NY,1969815.0,Human Services , Children's and Family Services ,NEW YORK,New York,NY,36.0
673,92,58156,Children's Restoration Network,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11083,Roswell,,62000,2.13,"Co-Founder, Chief Executive Officer",47678,82.5,184243,181303,Human Services : Homeless Services ,0,86.39,0,2658860,GA,2948937.0,Human Services , Homeless Services ,GEORGIA,Georgia,GA,13.0
674,66,5131,Children's Relief Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8123,Glendale,,President,1112.0,82.5,2125,1041.0,International : Humanitarian Relief Supplies ,0,72.96,0,1523900.0,CA,1532268,,,,,,,,
