,State_name,overall_score_average,Animals_score_average,Arts_score_average,Community_score_average,Education_score_average,Environment_score_average,Health_score_average,HumanServices_score_average,CivilRights_score_average,International_score_average,Religion_score_average,Research_score_average
15,Iowa,87.9192857142857,86.35,87.62,87.99444444444444,87.315,86.80333333333334,84.558,89.91909090909093,86.14,84.66,95.16,88.07
16,Kansas,85.52403846153847,83.15,87.22,86.73333333333333,83.422,,85.46333333333332,87.22428571428568,,90.795,77.48333333333333,93.67
17,Kentucky,86.13586206896554,89.72666666666665,86.62071428571427,85.17714285714285,88.97,84.5,86.7125,86.67157894736842,,85.62,78.745,83.18
18,Louisiana,85.57566037735847,89.495,83.6042857142857,87.69999999999997,81.06,85.775,79.26,85.94894736842106,,,,
19,Maine,88.67886363636363,83.5275,83.98428571428572,84.86888888888889,95.8,92.076,90.33666666666666,92.60125,87.23,92.52333333333333,92.83,95.21000000000001
20,Maryland,85.62184210526316,85.078,84.70384615384616,87.56,84.96636363636364,89.59125,82.5587878787879,86.78279069767441,87.85857142857142,87.33933333333334,82.14999999999999,83.1
21,Massachusetts,87.65906976744176,89.44624999999999,85.25862068965517,88.21115384615383,86.1274358974359,88.17,89.14043478260872,87.96525641025642,87.08312499999998,97.06764705882355,84.855,84.82307692307694
22,Michigan,87.41819277108436,89.46555555555555,86.13818181818182,89.62583333333333,84.26666666666667,90.04999999999998,86.15777777777777,88.9903571428571,78.38,88.5811111111111,82.15117647058823,86.00666666666666
23,Minnesota,88.27187165775403,89.22444444444444,86.88187500000002,88.72375000000001,87.18142857142857,89.798,86.26823529411766,88.47882352941174,89.36833333333334,92.814375,83.10400000000001,86.65666666666668
24,Mississippi,83.90433333333333,86.14,82.85499999999999,83.78625,85.41333333333334,,84.825,84.471,89.245,,72.94999999999999,
25,Missouri,89.0171851851852,88.00666666666666,89.0845,87.487,87.92166666666667,80.90333333333332,87.92909090909092,90.30843749999997,88.51,86.78999999999999,88.9925,
26,Montana,89.75111111111113,87.1875,90.95,86.61000000000001,,94.80799999999999,89.145,91.27333333333334,88.30000000000001,85.55000000000001,,90.475
27,Nebraska,87.96129629629628,85.96666666666668,87.40555555555554,88.1875,87.13999999999999,86.75,86.52666666666669,91.33875,,,77.72833333333334,
28,Nevada,86.33689655172412,100.0,84.52714285714286,87.0575,91.92,,73.2375,89.24666666666667,,,,
29,New Hampshire,87.58241379310347,86.27999999999999,91.95500000000001,88.48499999999999,95.4,89.64,85.00999999999999,86.48,,,,84.62
30,New Jersey,87.06696296296299,88.65200000000002,86.80642857142857,89.01263157894736,84.18272727272728,89.31285714285714,84.14,89.54933333333334,86.97,87.35,73.89,91.09
31,New Mexico,88.51999999999998,85.0,88.26100000000001,89.3775,88.03999999999999,92.96000000000001,89.24666666666667,87.54,,,93.345,84.37
32,New York,86.77576969696968,85.91599999999998,86.28185185185183,89.10642857142858,87.18153061224486,89.40371428571427,86.77392857142856,87.4596913580247,87.6983333333333,87.57301075268818,77.23151515151517,84.75437500000001
33,North Carolina,87.0479746835443,89.91571428571429,84.5257142857143,88.8052,85.3175,87.941,85.85411764705881,88.68730769230773,91.28333333333335,93.24,74.25874999999999,84.97
